acc,acc_labels,bce1_loss,bce2_loss,epoch,exp,f1,f1_labels,loss,lr,model,prec,prec_labels,recall,recall_labels,train_mode
0.6945843828715366,"[0.6939546599496221, 0.6952141057934509]",0.6693852048080701,0.06277631310065492,51.0,0.0,0.25715411607963773,"[0.26586102719033183, 0.24844720496894362]",1.096949577331543,0.0001,Y_net,0.31434830230010957,"[0.26506024096385544, 0.36363636363636365]",0.22767295597484277,"[0.26666666666666666, 0.18867924528301888]",valid
0.9505555555555556,"[0.9516666666666667, 0.9494444444444444]",0.43797839347085676,0.0664854368954444,52.0,0.0,0.8990479598127575,"[0.8977673325499406, 0.9003285870755745]",0.159721250169807,0.0001,Y_net,0.9263523521663324,"[0.9249394673123487, 0.927765237020316]",0.873307101913922,"[0.8721461187214612, 0.874468085106383]",train
0.6996221662468514,"[0.7027707808564232, 0.6964735516372796]",0.676890843600597,0.06216787217395767,52.0,0.0,0.26047535719093085,"[0.2670807453416144, 0.2538699690402472]",1.0977129638195038,0.0001,Y_net,0.3216273598439203,"[0.27388535031847133, 0.36936936936936937]",0.22700114351057749,"[0.2606060606060606, 0.19339622641509435]",valid
0.9541666666666666,"[0.9561111111111111, 0.9522222222222222]",0.43212973965569534,0.06570378215245734,53.0,0.0,0.907456289629265,"[0.9073856975381004, 0.9075268817204295]",0.14642716782788437,0.0001,Y_net,0.9249607124148769,"[0.9325301204819277, 0.9173913043478261]",0.8907169921305742,"[0.8835616438356164, 0.8978723404255319]",train
0.6908060453400504,"[0.690176322418136, 0.6914357682619647]",0.6842280824979147,0.06156688600916554,53.0,0.0,0.2495779768861182,"[0.18543046357615847, 0.3137254901960779]",1.1028163433074951,0.0001,Y_net,0.29529322929775986,"[0.20437956204379562, 0.38620689655172413]",0.21692395654659807,"[0.1696969696969697, 0.2641509433962264]",valid
0.9524999999999999,"[0.95, 0.955]",0.4265272409152804,0.0649474611565132,54.0,0.0,0.9039171671111799,"[0.895591647331786, 0.9122426868905738]",0.14809843570821815,0.0001,Y_net,0.9198685909450622,"[0.910377358490566, 0.9293598233995585]",0.8885116098319246,"[0.8812785388127854, 0.8957446808510638]",train
0.7015113350125944,"[0.7090680100755667, 0.6939546599496221]",0.6904380578886379,0.06098764687776566,54.0,0.0,0.28347277465368215,"[0.2712933753943213, 0.295652173913043]",1.055485486984253,0.0001,Y_net,0.3331766917293233,"[0.28289473684210525, 0.38345864661654133]",0.25058604917095484,"[0.2606060606060606, 0.24056603773584906]",valid
0.9544444444444444,"[0.9505555555555556, 0.9583333333333334]",0.4211675281473805,0.06420832724053605,55.0,0.0,0.9070012946663066,"[0.8961493582263705, 0.9178532311062426]",0.1499392887370454,0.0001,Y_net,0.9311458540974157,"[0.9164677804295943, 0.945823927765237]",0.8841008452346255,"[0.8767123287671232, 0.8914893617021277]",train
0.6977329974811084,"[0.7556675062972292, 0.6397984886649875]",0.6977505777031183,0.0604534860966461,55.0,0.0,0.2443124419121505,"[0.14159292035398188, 0.3470319634703191]",1.1310137808322906,0.0001,Y_net,0.29928913390396056,"[0.26229508196721313, 0.336283185840708]",0.2277301315037164,"[0.09696969696969697, 0.3584905660377358]",valid
0.9627777777777777,"[0.9616666666666667, 0.9638888888888889]",0.4155968531624906,0.06349573213113271,56.0,0.0,0.9250724773216117,"[0.9204152249134943, 0.9297297297297291]",0.1272294603702095,0.0001,Y_net,0.9375624375624376,"[0.9300699300699301, 0.945054945054945]",0.9129262605654328,"[0.910958904109589, 0.9148936170212766]",train
